id_alumno,documento_hash,fecha_nac,sexo,estado_matricula,curso,grupo,turno
10574437,8d983565b8fd4365bc1f4048fba2b9dae544e8b3a143b840da3e95044b6ffb6d,08/02/2002,M,M,3003829510,1CFMF,D
10787438,fb2f7aeb3f21b9becc83da84b78edba2a02e8fa607868eb2983f19ddbc5488f9,28/11/2006,M,M,3003829510,1CFMF,D
12166232,b2ac2134cd3a4c5f68abf1d542ec655f9399c9ee4dcfd740e0cce53388e0d259,11/04/1971,M,M,3003829517,2CFMK,D
10458861,c23fa843cbe496524087a88937e1ec382ef27605c0bd2a9547c33e02922c4462,03/01/1992,M,M,3003829517,2CFMF,D
13034262,49d3cb11c11ecc273b1b6e25a66ac553ff4781049530e61fd315d5cf2fc10ca3,04/07/1970,M,M,3003829517,2CFME,D
10780791,458575c026dfe7b716404bfa758544c2bbf07ba72235687368c2895964c6f0de,16/05/2006,M,M,3003829517,2CFME,D
10803735,7a847cae04c28e9a281755deb03b5e6e8d87b1ff404e532c6869a4f5b86eaf12,05/02/2006,H,M,3003829517,2CFME,D
12620481,b6be254dd26965722580738e152adfc76dac5ca150e58f652eed4f8e96932ed2,14/06/1979,M,M,3003829517,2CFMK,D
10822990,30d259cdebcc48d91bfb02fa9c5011ed3fa8f19fb4d4fde9936359555c3c4ac1,29/10/2004,H,M,3003829517,2CFMK,D
10839272,b64aed5a3c086c631386467e30d610c109f796189d98e6cae5a46951d77892e3,31/10/2004,M,M,3003829517,2CFMK,D
10486854,5ea6de17fff6f05d9a49841dfe2e41dd88fe5f387edb39cf7184112cdb0a836c,18/07/2003,M,M,3003829629,1CFSK,D
10698110,a17f3cb0c575de04a9d7c4bcc71b8b5069d6d03a2dbc148a079cecbfad851263,23/09/2005,M,M,3003829629,1CFSF,D
10707767,e3577aa8c5f056f2fe4d08c8c2e04d21a30e5e6e8a68af5b0088946f2f20d68d,01/07/2005,M,M,3003829629,1CFSF,D
13242092,8b1cc80b174e5ea60a5a89a44c18a3d42840e85d5d7e192284139263d54a52ad,13/09/1979,M,M,3003829629,1CFSF,D
10324078,aa0f475796a812800bbccc627c1b27634e1a7e28c7ec7c53e1a4053d29597def,21/08/1994,H,M,3003829629,1CFSF,D
10792613,d327bb2bc529091d2f309ff2ce984ece9e701909dfd462d8c6eaf73c342ecb32,18/04/2003,M,M,3003829636,2CFSF,D
10709570,138dd4d508d2970b5154f0a5084ba6bce85b128daafa3b69b05f97397c725819,23/12/2004,M,M,3003829636,2CFSK,D
10805336,dc03e3db50ab46022a0da48d989f443a691780f8109316dfe0a3838b08063661,04/08/2003,H,M,3003826541,1CFSJ,D
10809478,16085ba6582301f8af9aa4135d89b72d0d5d973bcd3871b669eb13e482a77ffa,27/02/2005,H,B,3003826604,1CFSD,D
10513851,cf9123ba9c515d8631e899b22e258fb904eeca1328201fe4c82cd2415bfeb0bc,03/02/2002,M,M,3003826604,1CFSD,D
10662959,ff8b97a18e13644e32cb8c9cfc64e276e06a086cc6a2a05ccbe840831973afdf,23/08/2003,H,B,3003826611,2CFSD,D
10248447,be4a43b3ac8ac0757275ed406559f575456107a259c0dd95a339488cd8ec0778,11/05/1998,M,M,3003826611,2CFSD,D
10837523,7986d608e1246aef08215160d593f38fb00ca23f4bd2dee5e748ffbefa83a5e1,18/01/2004,H,M,3003826611,2CFSD,D
10696634,0e58d0347fa828ade049a20551121786f303afeabe822e3d4a7427c468688ff6,10/10/2005,M,M,3003826625,1CFSE,D
10199483,c9f607e6e891d774bed2208c1c31cee106e6d2490bbd86b6fccc77c853e7b5f6,14/03/2001,M,M,3003826632,2CFSE,D
10850808,5968a7d1a4f9786a2d126a30f5adb35baa2a9dcf5830c7a5c6d2007eecb88d75,09/10/2004,M,M,3003826632,2CFSE,D
