anyo,codigo,nombre_cas,curso
2025_26,1713925,Proyecto Intermodular Actividades comerciales,3306172060
2025_26,CVOPT,Módulo optativo,3306172060
2025_26,1664020,Digitalización aplicada al sistema productivo GM,3306172060
2025_26,1708020,Sostenibilidad aplicada al sistema productivo,3306172060
2025_26,TU02CF,Tutoría Segundo,3306172060
2025_26,1227,Gestión de un pequeño comercio,3306172060
2025_26,1228,Técnicas de almacén,3306172060
2025_26,1230,Venta técnica,3306172060
2025_26,1234,Servicios de atención comercial,3306172060
2025_26,1235,Comercio electrónico,3306172060
2025_26,1710,Itinerario personal para la empleabilidad II,3306172060
2025_26,TU01CF,Tutoría Primero,3306172366
2025_26,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306172366
2025_26,0179,Inglés profesional GS,3306172366
2025_26,0171,Estructura del mercado turístico,3306172366
2025_26,0172,Protocolo y relaciones públicas,3306172366
2025_26,0173,Marketing turístico,3306172366
2025_26,0174,Dirección de alojamientos turístico,3306172366
2025_26,0182,Formación y orientación laboral,3306172366
2025_26,0177,Recursos humanos en el alojamiento,3306172366
2025_26,TU02CF,Tutoría Segundo,3306172373
2025_26,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306172373
2025_26,0180,Segunda lengua extranjera,3306172373
2025_26,0181,Proyecto de Gestión de alojamientos turísticos,3306172373
2025_26,0184,Formación en Centros de Trabajo,3306172373
2025_26,0183,Empresa e iniciativa emprendedora,3306172373
2025_26,0176,Recepción y reservas,3306172373
2025_26,0178,Comercialización de eventos,3306172373
2025_26,0175,Gestión del departamento de pisos,3306172373
2025_26,1709,Itinerario personal para la empleabilidad I,3306172403
2025_26,0388p,"Proyecto intermodular 1 de Guía, información y asistencia turísticas",3306172403
2025_26,TU01CF,Tutoría Primero,3306172403
2025_26,0179,Inglés profesional GS,3306172403
2025_26,0171,Estructura del mercado turístico,3306172403
2025_26,0383,Destinos turísticos,3306172403
2025_26,0384,Recursos turísticos,3306172403
2025_26,0172,Protocolo y relaciones públicas,3306172403
2025_26,0173,Marketing turístico,3306172403
2025_26,1708039,Sostenibilidad aplicada al sistema productivo,3306172410
2025_26,CVOPT,Módulo optativo,3306172410
2025_26,0388s,"Proyecto intermodular 2 de Guía, información y asistencia turísticas",3306172410
2025_26,1665039,Digitalización aplicada al sistema productivo GS,3306172410
2025_26,TU02CF,Tutoría Segundo,3306172410
2025_26,0180,Segunda lengua extranjera,3306172410
2025_26,0385,Servicios de información turística,3306172410
2025_26,0387,Diseño de productos turísticos,3306172410
2025_26,0386,Procesos de guía y asistencia,3306172410
2025_26,1710,Itinerario personal para la empleabilidad II,3306172410
2025_26,TU01CF,Tutoría Primero,3306169433
2025_26,243265,Diseño y Fabr. Monturas Ópticas,3306169433
2025_26,243267,"Anat., Fisiopatol. y Ametropias Oculares",3306169433
2025_26,243266,At. Cliente Establ. Prod. Ópticos,3306169433
2025_26,243264,Proc. Fabr. Lentes Oftalmológicas,3306169433
2025_26,TU02CF,Tutoría Segundo,3306169440
2025_26,243602,Formación y Orientación Laboral,3306169440
2025_26,243601,Formación en Centros de Trabajo,3306169440
2025_26,243604,"Adm., Gest. y Comer. Peq. Empresa",3306169440
2025_26,243271,Montajes y Reparaciones Ópticas,3306169440
2025_26,243270,Proc. Fabr. Lentes de Contacto,3306169440
2025_26,TU01CF,Tutoría Primero,3306170712
2025_26,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306170712
2025_26,1370,Fisiopatología general,3306170712
2025_26,1367,Gestión de muestras biológicas,3306170712
2025_26,1368,Técnicas generales de laboratorio,3306170712
2025_26,1369,Biología molecular y citogenética,3306170712
2025_26,1376,Formación y orientación laboral,3306170712
2025_26,TU02CF,Tutoría Segundo,3306170719
2025_26,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306170719
2025_26,1375,Proyecto de Laboratorio clínico y biomédico,3306170719
2025_26,1378,Formación en centros de trabajo,3306170719
2025_26,1371,Análisis bioquímico,3306170719
2025_26,1372,Técnicas de inmunodiagnóstico,3306170719
2025_26,1373,Microbiología clínica,3306170719
2025_26,1374,Técnicas de análisis hematológico,3306170719
2025_26,1377,Empresa e iniciativa emprendedora,3306170719
2025_26,TU01CF,Tutoría Primero,3306172105
2025_26,CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3306172105
2025_26,0156,Inglés profesional GM,3306172105
2025_26,1226,Marketing en la actividad comercial,3306172105
2025_26,1229,Gestión de compras,3306172105
2025_26,1231,Dinamización del punto de venta,3306172105
2025_26,1232,Procesos de venta,3306172105
2025_26,1233,Aplicaciones informáticas para el comercio,3306172105
2025_26,1236,Formación y orientación laboral,3306172105
2025_26,TU02CF,Tutoría Segundo,3306172112
2025_26,CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3306172112
2025_26,1227,Gestión de un pequeño comercio,3306172112
2025_26,1228,Técnicas de almacén,3306172112
2025_26,1230,Venta técnica,3306172112
2025_26,1234,Servicios de atención comercial,3306172112
2025_26,1235,Comercio electrónico,3306172112
2025_26,1237,Formación en centros de trabajo,3306172112
2025_26,CVOPT,Módulo optativo,3306172133
2025_26,0828s,Proyecto intermodular 2 de comercio internacional,3306172133
2025_26,1665020,Digitalización aplicada al sistema productivo GS,3306172133
2025_26,1708020,Sostenibilidad aplicada al sistema productivo,3306172133
2025_26,TU02CF,Tutoría Segundo,3306172133
2025_26,0825,Financiación internacional,3306172133
2025_26,0823,Marketing internacional,3306172133
2025_26,0827,Comercio digital internacional,3306172133
2025_26,0822,Sistema de información de mercados,3306172133
2025_26,0824,Negociación internacional,3306172133
2025_26,0826,Medios de pago internacionales,3306172133
2025_26,1710,Itinerario personal para la empleabilidad II,3306172133
2025_26,1709,Itinerario personal para la empleabilidad I,3306172135
2025_26,0828p,Proyecto intermodular 1 de Comercio internacional,3306172135
2025_26,TU01CF,Tutoría Primero,3306172135
2025_26,0179,Inglés profesional GS,3306172135
2025_26,0622,Transporte internacional de mercancías,3306172135
2025_26,0625,Logística de almacenamiento,3306172135
2025_26,0623,Gestión económica y financiera de la empresa,3306172135
2025_26,0627,Gestión administrativa del comercio internacional,3306172135
2025_26,CV0008,Ofimática y proceso de la información en el comercio internacional,3306172135
2025_26,CV0009,Gestión portuaria,3306172135
2025_26,CVOPT,Módulo optativo,3306172165
2025_26,1012s,Proyecto intermodular 2 de marketing y publicidad,3306172165
2025_26,1665020,Digitalización aplicada al sistema productivo GS,3306172165
2025_26,1708020,Sostenibilidad aplicada al sistema productivo,3306172165
2025_26,TU02CF,Tutoría Segundo,3306172165
2025_26,1007,Diseño y elaboración de material de comunicación,3306172165
2025_26,1008,Medios y soportes de comunicación,3306172165
2025_26,1009,Relaciones públicas y organización de eventos de marketing,3306172165
2025_26,1011,Trabajo de campo en la investigación comercial,3306172165
