anyo,alumno,curso,contenido,evaluacion,nota_numerica
2024_25,0404bfc4ec16c06027a74a5cee04b2212fefe428ffcdd1dc4723c623735d0dcb,3162079790,0656,1,0
2024_25,0404bfc4ec16c06027a74a5cee04b2212fefe428ffcdd1dc4723c623735d0dcb,3162079790,0656,FI,0
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,0442,1,8
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,0442,FI,8
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,0443,1,7
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,0443,FI,7
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,0446,1,8
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,0446,FI,8
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,0448,1,8
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,0448,FI,8
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,0451,FI,0
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,CV0002,1,8
2024_25,04061663b116c739eb928af71b7c08708eb7e65316c91e87b8013b0f60239ddc,3162079713,CV0002,FI,8
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0486,1,9
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0486,FI,8
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0488,1,4
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0488,FI,7
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0489,1,8
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0489,FI,8
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0490,1,7
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0490,FI,7
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0491,1,9
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0491,FI,9
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,0495,FI,0
2024_25,0420f6e94454d39151b760d134c57022fff19e5e79e98a721cf69f5a24366712,3162079993,CV0004,1,4
2024_25,044b0f5dff0cb9138742d8e462f743f088f24e86fa00ee253171ab82178fd2a8,3162075418,028601,FI,0
2024_25,047d440784e11fa29ad2e96d76f3fdb9a2629d7440f44893cca04bfc9807a23e,3228413080,0179,1,9
2024_25,047d440784e11fa29ad2e96d76f3fdb9a2629d7440f44893cca04bfc9807a23e,3228413080,0179,2,8
2024_25,047d440784e11fa29ad2e96d76f3fdb9a2629d7440f44893cca04bfc9807a23e,3228413080,0179,FI,9
2024_25,047d440784e11fa29ad2e96d76f3fdb9a2629d7440f44893cca04bfc9807a23e,3228413080,0369,1,8
2024_25,047d440784e11fa29ad2e96d76f3fdb9a2629d7440f44893cca04bfc9807a23e,3228413080,0369,2,7
2024_25,047d440784e11fa29ad2e96d76f3fdb9a2629d7440f44893cca04bfc9807a23e,3228413080,0369,FI,9
2024_25,047d440784e11fa29ad2e96d76f3fdb9a2629d7440f44893cca04bfc9807a23e,3228413080,0370,1,5
2024_25,047d440784e11fa29ad2e96d76f3fdb9a2629d7440f44893cca04bfc9807a23e,3228413080,0370,2,6
