anyo,nombre_cas,codigo,curso
2025,Proc. Fabr. Lentes Oftalmológicas,243264,3306169433
2025,Tutoría Segundo,TU02CF,3306169440
2025,Formación y Orientación Laboral,243602,3306169440
2025,Formación en Centros de Trabajo,243601,3306169440
2025,"Adm., Gest. y Comer. Peq. Empresa",243604,3306169440
2025,Montajes y Reparaciones Ópticas,243271,3306169440
2025,Proc. Fabr. Lentes de Contacto,243270,3306169440
2025,Tutoría Primero,TU01CF,3306170712
2025,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306170712
2025,Fisiopatología general,1370,3306170712
2025,Gestión de muestras biológicas,1367,3306170712
2025,Técnicas generales de laboratorio,1368,3306170712
2025,Biología molecular y citogenética,1369,3306170712
2025,Formación y orientación laboral,1376,3306170712
2025,Tutoría Segundo,TU02CF,3306170719
2025,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306170719
2025,Proyecto de Laboratorio clínico y biomédico,1375,3306170719
2025,Formación en centros de trabajo,1378,3306170719
2025,Análisis bioquímico,1371,3306170719
2025,Técnicas de inmunodiagnóstico,1372,3306170719
2025,Microbiología clínica,1373,3306170719
2025,Técnicas de análisis hematológico,1374,3306170719
2025,Empresa e iniciativa emprendedora,1377,3306170719
2025,Tutoría Primero,TU01CF,3306172105
2025,Inglés Técnico I-M / Horario reservado para la docencia en inglés,CV0001,3306172105
2025,Inglés profesional GM,0156,3306172105
2025,Marketing en la actividad comercial,1226,3306172105
2025,Gestión de compras,1229,3306172105
2025,Dinamización del punto de venta,1231,3306172105
2025,Procesos de venta,1232,3306172105
2025,Aplicaciones informáticas para el comercio,1233,3306172105
2025,Formación y orientación laboral,1236,3306172105
2025,Tutoría Segundo,TU02CF,3306172112
2025,Inglés Técnico II-M / Horario reservado para la docencia en inglés,CV0002,3306172112
2025,Gestión de un pequeño comercio,1227,3306172112
2025,Técnicas de almacén,1228,3306172112
2025,Venta técnica,1230,3306172112
2025,Servicios de atención comercial,1234,3306172112
2025,Comercio electrónico,1235,3306172112
2025,Formación en centros de trabajo,1237,3306172112
2025,Módulo optativo,CVOPT,3306172133
2025,Proyecto intermodular 2 de comercio internacional,0828s,3306172133
2025,Digitalización aplicada al sistema productivo GS,1665020,3306172133
2025,Sostenibilidad aplicada al sistema productivo,1708020,3306172133
2025,Tutoría Segundo,TU02CF,3306172133
2025,Financiación internacional,0825,3306172133
2025,Marketing internacional,0823,3306172133
2025,Comercio digital internacional,0827,3306172133
2025,Sistema de información de mercados,0822,3306172133
2025,Negociación internacional,0824,3306172133
2025,Medios de pago internacionales,0826,3306172133
2025,Itinerario personal para la empleabilidad II,1710,3306172133
2025,Itinerario personal para la empleabilidad I,1709,3306172135
2025,Proyecto intermodular 1 de Comercio internacional,0828p,3306172135
2025,Tutoría Primero,TU01CF,3306172135
2025,Inglés profesional GS,0179,3306172135
2025,Transporte internacional de mercancías,0622,3306172135
2025,Logística de almacenamiento,0625,3306172135
2025,Gestión económica y financiera de la empresa,0623,3306172135
2025,Gestión administrativa del comercio internacional,0627,3306172135
2025,Ofimática y proceso de la información en el comercio internacional,CV0008,3306172135
2025,Gestión portuaria,CV0009,3306172135
2025,Módulo optativo,CVOPT,3306172165
2025,Proyecto intermodular 2 de marketing y publicidad,1012s,3306172165
2025,Digitalización aplicada al sistema productivo GS,1665020,3306172165
2025,Sostenibilidad aplicada al sistema productivo,1708020,3306172165
2025,Tutoría Segundo,TU02CF,3306172165
2025,Diseño y elaboración de material de comunicación,1007,3306172165
2025,Medios y soportes de comunicación,1008,3306172165
2025,Relaciones públicas y organización de eventos de marketing,1009,3306172165
2025,Trabajo de campo en la investigación comercial,1011,3306172165
2025,Lanzamiento de productos y servicios,1109,3306172165
2025,"Atención al cliente, consumidor y usuario",1110,3306172165
2025,Itinerario personal para la empleabilidad II,1710,3306172165
2025,Itinerario personal para la empleabilidad I,1709,3306172167
2025,Proyecto intermodular 1 de marketing y publicidad,1012p,3306172167
2025,Tutoría Primero,TU01CF,3306172167
2025,Inglés profesional GS,0179,3306172167
2025,Gestión económica y financiera de la empresa,0623,3306172167
2025,Políticas de marketing,0930,3306172167
2025,Marketing digital,0931,3306172167
2025,Investigación comercial,1010,3306172167
2025,Modelos de Inteligencia Artificial,5071,3315804631
2025,Sistemas de aprendizaje automático,5072,3315804631
2025,Programación de Inteligencia Artificial,5073,3315804631
2025,Sistemas de Big Data,5074,3315804631
2025,Big Data aplicado,5075,3315804631
